protein_name,rna_name,dengue
AQV12281.1,KY586455.1,dengue virus type 1
AQV12280.1,KY586454.1,dengue virus type 1
AQV12279.1,KY586453.1,dengue virus type 1
AQV12278.1,KY586452.1,dengue virus type 1
AQV12277.1,KY586451.1,dengue virus type 1
AQV12276.1,KY586450.1,dengue virus type 1
AQV12275.1,KY586449.1,dengue virus type 1
AQV12274.1,KY586448.1,dengue virus type 1
AQV12273.1,KY586447.1,dengue virus type 1
AQV12272.1,KY586446.1,dengue virus type 1
AQV12271.1,KY586445.1,dengue virus type 1
AQV12270.1,KY586444.1,dengue virus type 1
AQV12269.1,KY586443.1,dengue virus type 1
AQV12268.1,KY586442.1,dengue virus type 1
AQV12267.1,KY586441.1,dengue virus type 1
AQV12266.1,KY586440.1,dengue virus type 1
AQV12265.1,KY586439.1,dengue virus type 1
AQV12264.1,KY586438.1,dengue virus type 1
AQV12263.1,KY586437.1,dengue virus type 1
AQV12262.1,KY586436.1,dengue virus type 1
AQV12261.1,KY586435.1,dengue virus type 1
AQV12260.1,KY586434.1,dengue virus type 1
AQV12259.1,KY586433.1,dengue virus type 1
AQV12258.1,KY586432.1,dengue virus type 1
AQV12257.1,KY586431.1,dengue virus type 1
AQV12256.1,KY586430.1,dengue virus type 1
AQV12255.1,KY586429.1,dengue virus type 1
AQV12254.1,KY586428.1,dengue virus type 1
AQV12253.1,KY586427.1,dengue virus type 1
AQV12252.1,KY586426.1,dengue virus type 1
AQV12251.1,KY586425.1,dengue virus type 1
AQV12250.1,KY586424.1,dengue virus type 1
AQV12249.1,KY586423.1,dengue virus type 1
AQV12248.1,KY586422.1,dengue virus type 1
AQV12247.1,KY586421.1,dengue virus type 1
AQV12246.1,KY586420.1,dengue virus type 1
AQV12245.1,KY586419.1,dengue virus type 1
AQV12244.1,KY586418.1,dengue virus type 1
AQV12243.1,KY586417.1,dengue virus type 1
AQV12242.1,KY586416.1,dengue virus type 1
AQV12241.1,KY586415.1,dengue virus type 1
AQV12240.1,KY586414.1,dengue virus type 1
AQV12239.1,KY586413.1,dengue virus type 1
AQV12238.1,KY586412.1,dengue virus type 1
AQV12237.1,KY586411.1,dengue virus type 1
AQV12236.1,KY586410.1,dengue virus type 1
AQV12235.1,KY586409.1,dengue virus type 1
AQV12234.1,KY586408.1,dengue virus type 1
AQV12233.1,KY586407.1,dengue virus type 1
AQV12232.1,KY586406.1,dengue virus type 1
AQV12231.1,KY586405.1,dengue virus type 1
AQV12230.1,KY586404.1,dengue virus type 1
AQV12229.1,KY586403.1,dengue virus type 1
AQV12228.1,KY586402.1,dengue virus type 1
AQV12227.1,KY586401.1,dengue virus type 1
AQV12226.1,KY586400.1,dengue virus type 1
AQV12225.1,KY586399.1,dengue virus type 1
AQV12224.1,KY586398.1,dengue virus type 1
AQV12223.1,KY586397.1,dengue virus type 1
AQV12222.1,KY586396.1,dengue virus type 1
AQV12221.1,KY586395.1,dengue virus type 1
AQV12220.1,KY586394.1,dengue virus type 1
AQV12219.1,KY586393.1,dengue virus type 1
AQV12218.1,KY586392.1,dengue virus type 1
AQV12217.1,KY586391.1,dengue virus type 1
AQV12216.1,KY586390.1,dengue virus type 1
AQV12215.1,KY586389.1,dengue virus type 1
AQV12214.1,KY586388.1,dengue virus type 1
AQV12213.1,KY586387.1,dengue virus type 1
AQV12212.1,KY586386.1,dengue virus type 1
AQV12211.1,KY586385.1,dengue virus type 1
AQV12210.1,KY586384.1,dengue virus type 1
AQV12209.1,KY586383.1,dengue virus type 1
AQV12208.1,KY586382.1,dengue virus type 1
AQV12207.1,KY586381.1,dengue virus type 1
AQV12206.1,KY586380.1,dengue virus type 1
AQV12205.1,KY586379.1,dengue virus type 1
AQV12204.1,KY586378.1,dengue virus type 1
AQV12203.1,KY586377.1,dengue virus type 1
AQV12202.1,KY586376.1,dengue virus type 1
AQV12201.1,KY586375.1,dengue virus type 1
AQV12200.1,KY586374.1,dengue virus type 1
AQV12199.1,KY586373.1,dengue virus type 1
AQV12198.1,KY586372.1,dengue virus type 1
AQV12197.1,KY586371.1,dengue virus type 1
AQV12196.1,KY586370.1,dengue virus type 1
AQV12195.1,KY586369.1,dengue virus type 1
AQV12194.1,KY586368.1,dengue virus type 1
AQV12193.1,KY586367.1,dengue virus type 1
AQV12192.1,KY586366.1,dengue virus type 1
AQV12191.1,KY586365.1,dengue virus type 1
AQV12190.1,KY586364.1,dengue virus type 1
AQV12189.1,KY586363.1,dengue virus type 1
AQV12188.1,KY586362.1,dengue virus type 1
AQV12187.1,KY586361.1,dengue virus type 1
AQV12186.1,KY586360.1,dengue virus type 1
AQV12185.1,KY586359.1,dengue virus type 1
AQV12184.1,KY586358.1,dengue virus type 1
AQV12183.1,KY586357.1,dengue virus type 1
AQV12182.1,KY586356.1,dengue virus type 1
AQV12181.1,KY586355.1,dengue virus type 1
AQV12180.1,KY586354.1,dengue virus type 1
AQV12179.1,KY586353.1,dengue virus type 1
AQV12178.1,KY586352.1,dengue virus type 1
AQV12177.1,KY586351.1,dengue virus type 1
AQV12176.1,KY586350.1,dengue virus type 1
AQV12175.1,KY586349.1,dengue virus type 1
AQV12174.1,KY586348.1,dengue virus type 1
AQV12173.1,KY586347.1,dengue virus type 1
AQV12172.1,KY586346.1,dengue virus type 1
AQV12171.1,KY586345.1,dengue virus type 1
AQV12170.1,KY586344.1,dengue virus type 1
AQV12169.1,KY586343.1,dengue virus type 1
AQV12168.1,KY586342.1,dengue virus type 1
AQV12167.1,KY586341.1,dengue virus type 1
AQV12166.1,KY586340.1,dengue virus type 1
AQV12165.1,KY586339.1,dengue virus type 1
AQV12164.1,KY586338.1,dengue virus type 1
AQV12163.1,KY586337.1,dengue virus type 1
AQV12162.1,KY586336.1,dengue virus type 1
AQV12161.1,KY586335.1,dengue virus type 1
AQV12160.1,KY586334.1,dengue virus type 1
AQV12159.1,KY586333.1,dengue virus type 1
AQV12158.1,KY586332.1,dengue virus type 1
AQV12157.1,KY586331.1,dengue virus type 1
AQV12156.1,KY586330.1,dengue virus type 1
AQV12155.1,KY586329.1,dengue virus type 1
AQV12154.1,KY586328.1,dengue virus type 1
AQV12153.1,KY586327.1,dengue virus type 1
AQV12152.1,KY586326.1,dengue virus type 1
AQV12151.1,KY586325.1,dengue virus type 1
AQV12150.1,KY586324.1,dengue virus type 1
AQV12149.1,KY586323.1,dengue virus type 1
AQV12148.1,KY586322.1,dengue virus type 1
AQV12147.1,KY586321.1,dengue virus type 1
AQV12146.1,KY586320.1,dengue virus type 1
AQV12145.1,KY586319.1,dengue virus type 1
AQV12144.1,KY586318.1,dengue virus type 1
AQV12143.1,KY586317.1,dengue virus type 1
AQV12142.1,KY586316.1,dengue virus type 1
AQV12141.1,KY586315.1,dengue virus type 1
AQV12140.1,KY586314.1,dengue virus type 1
AQV12139.1,KY586313.1,dengue virus type 1
AQV12138.1,KY586312.1,dengue virus type 1
AQV12137.1,KY586311.1,dengue virus type 1
AQV12136.1,KY586310.1,dengue virus type 1
AQV12135.1,KY586309.1,dengue virus type 1
AQV12134.1,KY586308.1,dengue virus type 1
AQV12133.1,KY586307.1,dengue virus type 1
AQV12132.1,KY586306.1,dengue virus type 1
AOG15612.1,KT445963.1,dengue virus type 1
AOG15611.1,KT445962.1,dengue virus type 1
AOG15610.1,KT445961.1,dengue virus type 1
AOG15609.1,KT445960.1,dengue virus type 1
AOG15608.1,KT445959.1,dengue virus type 1
AOG15607.1,KT445958.1,dengue virus type 1
AOG15606.1,KT445957.1,dengue virus type 1
AOG15605.1,KT445956.1,dengue virus type 1
AOG15604.1,KT445955.1,dengue virus type 1
AMN88557.1,KR919821.1,dengue virus type 1
AMN88556.1,KR919820.1,dengue virus type 1
ALN22021.1,KT026310.1,dengue virus type 4
ALN22020.1,KT026309.1,dengue virus type 4
ALN22019.1,KT026308.1,dengue virus type 4
AKF17159.1,KR071622.1,dengue virus type 1
AKC89102.1,KP772252.1,dengue virus type 1
AHK05342.1,KF907503.1,dengue virus type 4
AED98520.1,JF260983.1,dengue virus type 2
CAS92638.1,FB667400.1,dengue virus type 3
CAM35389.1,CS479165.1,dengue virus type 2
